Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
oud-noir-intense,Oud Noir Intense,"<p>A captivating blend of dark Arabian oud, smouldering amber, and warm sandalwood. Rich, resinous, and deeply sensual — a signature scent for those who command attention.</p><ul><li>Top notes: Saffron, Black Pepper</li><li>Heart notes: Arabian Oud, Rose Absolute</li><li>Base notes: Amber, Sandalwood, Musk</li></ul>",EternaScents,Eau de Parfum,"oud, arabic, woody, amber, intense, bestseller",TRUE,Size,50ml,,,ES-ONI-50,150,shopify,50,deny,manual,65.00,80.00,TRUE,TRUE,,,Oud Noir Intense 50ml,active
oud-noir-intense,,,,,,,,100ml,,,ES-ONI-100,250,shopify,50,deny,manual,110.00,130.00,TRUE,TRUE,,,,active
rose-oud-royale,Rose Oud Royale,"<p>The timeless union of Bulgarian rose and premium oud wood, elevated with hints of precious ambergris. A floral-oriental masterpiece befitting royalty.</p><ul><li>Top notes: Bergamot, Pink Pepper</li><li>Heart notes: Bulgarian Rose, Oud</li><li>Base notes: Ambergris, White Musk, Patchouli</li></ul>",EternaScents,Eau de Parfum,"rose, oud, floral, oriental, luxury, romantic",TRUE,Size,50ml,,,ES-ROR-50,150,shopify,50,deny,manual,75.00,95.00,TRUE,TRUE,,,Rose Oud Royale 50ml,active
rose-oud-royale,,,,,,,,100ml,,,ES-ROR-100,250,shopify,50,deny,manual,130.00,155.00,TRUE,TRUE,,,,active
amber-musk-elixir,Amber Musk Elixir,"<p>A warm, enveloping accord of golden amber and clean white musk. Smooth, powdery, and effortlessly elegant — perfect for every occasion.</p><ul><li>Top notes: Vanilla Blossom, Cardamom</li><li>Heart notes: Golden Amber, Jasmine</li><li>Base notes: White Musk, Cashmere Wood, Tonka Bean</li></ul>",EternaScents,Eau de Parfum,"amber, musk, warm, powdery, unisex, everyday",TRUE,Size,50ml,,,ES-AME-50,150,shopify,50,deny,manual,55.00,70.00,TRUE,TRUE,,,Amber Musk Elixir 50ml,active
amber-musk-elixir,,,,,,,,100ml,,,ES-AME-100,250,shopify,50,deny,manual,95.00,115.00,TRUE,TRUE,,,,active
saffron-gold,Saffron Gold,"<p>Rare Persian saffron shimmers over a heart of warm oud and leather, anchored by creamy sandalwood. An opulent, spiced oriental that lingers long after you leave the room.</p><ul><li>Top notes: Saffron, Cinnamon</li><li>Heart notes: Oud, Leather, Rose</li><li>Base notes: Sandalwood, Amber, Vanilla</li></ul>",EternaScents,Eau de Parfum,"saffron, spicy, oriental, leather, oud, luxury, gift",TRUE,Size,50ml,,,ES-SG-50,150,shopify,50,deny,manual,80.00,100.00,TRUE,TRUE,,,Saffron Gold 50ml,active
saffron-gold,,,,,,,,100ml,,,ES-SG-100,250,shopify,50,deny,manual,140.00,165.00,TRUE,TRUE,,,,active
white-oud-sublime,White Oud Sublime,"<p>A lighter, ethereal interpretation of oud — bright and airy with luminous florals and clean woods. Where tradition meets modern luxury.</p><ul><li>Top notes: Lemon, Neroli</li><li>Heart notes: White Oud, Iris, Magnolia</li><li>Base notes: Vetiver, Cedar, Light Musk</li></ul>",EternaScents,Eau de Parfum,"white oud, fresh, floral, light, modern, unisex",TRUE,Size,50ml,,,ES-WOS-50,150,shopify,50,deny,manual,70.00,88.00,TRUE,TRUE,,,White Oud Sublime 50ml,active
white-oud-sublime,,,,,,,,100ml,,,ES-WOS-100,250,shopify,50,deny,manual,120.00,145.00,TRUE,TRUE,,,,active
desert-night-oud,Desert Night Oud,"<p>Inspired by the mystique of the Arabian desert after dark. Deep smoky oud meets burning incense and warm dry woods — hauntingly beautiful and unmistakably bold.</p><ul><li>Top notes: Incense, Black Pepper</li><li>Heart notes: Smoky Oud, Frankincense, Myrrh</li><li>Base notes: Dark Amber, Cedarwood, Labdanum</li></ul>",EternaScents,Eau de Parfum,"smoky, incense, oud, dark, intense, arabic, men",TRUE,Size,50ml,,,ES-DNO-50,150,shopify,50,deny,manual,75.00,95.00,TRUE,TRUE,,,Desert Night Oud 50ml,active
desert-night-oud,,,,,,,,100ml,,,ES-DNO-100,250,shopify,50,deny,manual,130.00,155.00,TRUE,TRUE,,,,active
jasmine-oud-nights,Jasmine Oud Nights,"<p>An intoxicating nocturnal blend of Egyptian jasmine and warm oud, softened by creamy sandalwood and delicate musk. Sensual, feminine, and deeply romantic.</p><ul><li>Top notes: Mandarin, Green Leaves</li><li>Heart notes: Egyptian Jasmine, Rose, Oud</li><li>Base notes: Sandalwood, Vanilla, White Musk</li></ul>",EternaScents,Eau de Parfum,"jasmine, floral, oud, feminine, romantic, night, sensual",TRUE,Size,50ml,,,ES-JON-50,150,shopify,50,deny,manual,68.00,85.00,TRUE,TRUE,,,Jasmine Oud Nights 50ml,active
jasmine-oud-nights,,,,,,,,100ml,,,ES-JON-100,250,shopify,50,deny,manual,115.00,138.00,TRUE,TRUE,,,,active
royal-musk-collection,Royal Musk,"<p>A luxuriously soft and skin-close musk, layered with velvety woods and a whisper of warm amber. Clean, addictive, and endlessly wearable.</p><ul><li>Top notes: Aldehydes, Peach</li><li>Heart notes: White Musk, Rose, Violet</li><li>Base notes: Amber, Cashmere Wood, Benzoin</li></ul>",EternaScents,Eau de Parfum,"musk, clean, soft, unisex, everyday, wearable",TRUE,Size,50ml,,,ES-RM-50,150,shopify,50,deny,manual,58.00,72.00,TRUE,TRUE,,,Royal Musk 50ml,active
royal-musk-collection,,,,,,,,100ml,,,ES-RM-100,250,shopify,50,deny,manual,98.00,120.00,TRUE,TRUE,,,,active
oud-rose-eternal,Oud Rose Eternal,"<p>A grand floral-oriental combining the depth of aged oud with an abundance of Turkish rose petals. Rich, complex, and truly eternal — a perfume to be treasured.</p><ul><li>Top notes: Bergamot, Cardamom, Raspberry</li><li>Heart notes: Turkish Rose, Aged Oud, Geranium</li><li>Base notes: Amber, Patchouli, Labdanum, Musk</li></ul>",EternaScents,Eau de Parfum,"rose, oud, floral, oriental, turkish, luxury, signature",TRUE,Size,50ml,,,ES-ORE-50,150,shopify,50,deny,manual,85.00,105.00,TRUE,TRUE,,,Oud Rose Eternal 50ml,active
oud-rose-eternal,,,,,,,,100ml,,,ES-ORE-100,250,shopify,50,deny,manual,148.00,175.00,TRUE,TRUE,,,,active
bakhoor-oud-pure,Bakhoor Oud Pure,"<p>Inspired by the ancient Arabian tradition of bakhoor — incense rituals that fill the home with warmth and spirituality. Pure oud smoke meets rich resins and sacred woods.</p><ul><li>Top notes: Smoky Incense, Saffron</li><li>Heart notes: Pure Oud, Bakhoor Accord, Rose</li><li>Base notes: Frankincense, Resins, Dark Amber</li></ul>",EternaScents,Eau de Parfum,"bakhoor, oud, incense, arabic, traditional, smoke, pure",TRUE,Size,50ml,,,ES-BOP-50,150,shopify,50,deny,manual,90.00,115.00,TRUE,TRUE,,,Bakhoor Oud Pure 50ml,active
bakhoor-oud-pure,,,,,,,,100ml,,,ES-BOP-100,250,shopify,50,deny,manual,158.00,190.00,TRUE,TRUE,,,,active
